UserID,UserName,Age,Gender,Email,total_courses,enrollment_frequency,avg_spending,total_spending,diversity_score,avg_course_rating,preferred_category,preferred_level,learning_depth_index,preferred_teacher,teacher_diversity
U00044,rileyapril,19,Male,wagnermichael@hotmail.com,1,1,299.57,299.57,1,3.74,Data Science,Beginner,0.0,TC00016,1
U00045,rodneystevens,23,Female,mitchellwilliam@yahoo.com,14,14,86.41357142857143,1209.79,9,3.375,Project Management,Beginner,0.42857142857142855,TC00040,2
U00046,usimpson,29,Female,hmarquez@hotmail.com,2,2,0.0,0.0,2,1.325,Design,Advanced,0.5,TC00004,2
U00047,westbrian,34,Male,lclark@outlook.com,1,1,0.0,0.0,1,3.6,Data Science,Intermediate,0.0,TC00016,1
U00048,willie71,19,Male,zgarza@hotmail.com,13,13,27.45307692307692,356.89,9,3.329230769230769,Design,Beginner,0.5714285714285714,TC00040,2
U00049,nclark,32,Male,thomaskenneth@gmail.com,1,1,0.0,0.0,1,3.45,Project Management,Intermediate,0.0,TC00014,1
U00050,rewing,33,Male,syoung@gmail.com,1,1,0.0,0.0,1,2.61,Design,Advanced,1.0,TC00051,1
U00051,crystal12,32,Female,bonnie35@gmail.com,1,1,0.0,0.0,1,4.51,Design,Beginner,0.0,TC00047,1
U00052,daniel48,25,Female,tweber@gmail.com,1,1,0.78,0.78,1,3.89,Machine Learning,Advanced,1.0,TC00044,1
U00053,tara07,34,Female,bergertimothy@hotmail.com,1,1,53.86,53.86,1,2.47,Finance,Beginner,0.0,TC00044,1
U00054,jessicaparker,22,Female,rosslindsey@hotmail.com,1,1,490.9,490.9,1,4.55,Artificial Intelligence,Beginner,0.0,TC00027,1
U00055,hallandrea,31,Female,michelle73@gmail.com,16,16,90.515625,1448.25,9,3.055625,Design,Advanced,2.25,TC00040,2
U00056,vcrawford,22,Female,markfinley@gmail.com,2,2,0.0,0.0,2,2.745,Design,Advanced,0.5,TC00033,2
U00057,thomasrobin,18,Male,cedwards@yahoo.com,1,1,487.92,487.92,1,3.64,Business,Advanced,1.0,TC00052,1
U00058,egomez,30,Female,jimmymurphy@outlook.com,1,1,117.68,117.68,1,2.57,Data Science,Advanced,1.0,TC00010,1
U00059,elizabeth16,32,Male,andersonmadison@gmail.com,1,1,0.0,0.0,1,4.51,Design,Beginner,0.0,TC00047,1
U00060,albert28,26,Male,stephanie43@yahoo.com,4,4,13.465,53.86,3,3.515,Finance,Beginner,0.0,TC00037,3
U00061,vincent12,32,Female,yscott@outlook.com,1,1,0.0,0.0,1,1.91,Cybersecurity,Intermediate,0.0,TC00031,1
U00062,howenathaniel,28,Female,tbrown@yahoo.com,1,1,0.0,0.0,1,3.85,Programming,Beginner,0.0,TC00051,1
U00063,lisawong,34,Female,denise33@outlook.com,2,2,149.785,299.57,2,3.31,Data Science,Beginner,0.0,TC00015,2
U00064,donnabarker,33,Female,gellis@yahoo.com,1,1,276.37,276.37,1,2.72,Design,Advanced,1.0,TC00047,1
U00065,michaelcurtis,29,Male,brownrobert@hotmail.com,1,1,0.0,0.0,1,2.67,Web Development,Advanced,1.0,TC00045,1
U00066,wwest,26,Female,gomezkatherine@gmail.com,1,1,327.99,327.99,1,1.51,Project Management,Beginner,0.0,TC00060,1
U00067,jessica24,28,Female,gardnerjohnny@hotmail.com,1,1,119.04,119.04,1,2.75,Finance,Intermediate,0.0,TC00044,1
U00068,marshmichelle,32,Male,mcoleman@outlook.com,1,1,0.0,0.0,1,3.45,Project Management,Intermediate,0.0,TC00060,1
U00069,gainesandrew,27,Female,woodashley@outlook.com,2,2,0.0,0.0,2,3.67,Design,Advanced,1.0,TC00003,2
U00070,mgonzales,25,Female,vwang@gmail.com,2,2,0.0,0.0,2,4.6899999999999995,Digital Marketing,Intermediate,0.0,TC00014,2
U00071,kevin94,30,Female,gonzalezchristine@hotmail.com,14,14,45.85285714285715,641.94,8,2.777857142857143,Programming,Beginner,0.5,TC00042,2
U00072,hallanthony,17,Female,sharon51@hotmail.com,1,1,326.02,326.02,1,2.69,Business,Intermediate,0.0,TC00028,1
U00073,katie83,16,Male,lydia56@gmail.com,1,1,0.78,0.78,1,3.89,Machine Learning,Advanced,1.0,TC00049,1
U00074,nunezapril,19,Male,hancocksteven@hotmail.com,3,3,321.06,963.18,2,3.5233333333333334,Programming,Beginner,0.0,TC00056,2
U00075,hfarley,22,Male,torresshawn@hotmail.com,1,1,0.0,0.0,1,4.45,Design,Advanced,1.0,TC00035,1
U00076,justinwatkins,34,Male,amyanderson@hotmail.com,4,4,118.07,472.28,4,3.0949999999999998,Business,Beginner,0.25,TC00002,4
U00077,shannon49,20,Male,shane75@yahoo.com,1,1,0.0,0.0,1,4.11,Marketing,Intermediate,0.0,TC00043,1
U00078,ahouston,32,Female,ashleywalker@outlook.com,1,1,0.0,0.0,1,4.11,Marketing,Intermediate,0.0,TC00030,1
U00079,aburke,28,Male,stoutdylan@outlook.com,1,1,0.0,0.0,1,4.94,Cybersecurity,Beginner,0.0,TC00031,1
U00080,mortonandrew,35,Female,cindycox@yahoo.com,1,1,0.0,0.0,1,2.88,Programming,Beginner,0.0,TC00009,1
U00081,smithdanny,18,Female,martinrhonda@yahoo.com,1,1,0.0,0.0,1,1.52,Design,Advanced,1.0,TC00047,1
U00082,susankidd,31,Male,jasonhicks@yahoo.com,1,1,0.0,0.0,1,4.68,Project Management,Beginner,0.0,TC00043,1
U00083,james92,16,Male,kconrad@gmail.com,15,15,110.75333333333333,1661.3,9,2.9953333333333334,Artificial Intelligence,Intermediate,0.8,TC00040,2
U00084,xperez,20,Male,ericafrank@yahoo.com,1,1,327.99,327.99,1,1.51,Project Management,Beginner,0.0,TC00043,1
U00085,scottluna,22,Female,adam86@yahoo.com,13,13,88.39384615384614,1149.12,7,2.9084615384615384,Cybersecurity,Beginner,0.375,TC00040,2
U00086,nicole62,27,Female,anewton@yahoo.com,4,4,13.465,53.86,4,2.47,Business,Advanced,1.0,TC00018,4
U00087,sjoseph,19,Female,jacqueline74@yahoo.com,3,3,0.0,0.0,3,4.506666666666667,Machine Learning,Intermediate,0.0,TC00007,3
U00088,tgarcia,23,Male,debrawilson@yahoo.com,1,1,0.0,0.0,1,3.64,Artificial Intelligence,Beginner,0.0,TC00027,1
U00089,austinspears,30,Male,browningjennifer@hotmail.com,1,1,0.0,0.0,1,4.73,Machine Learning,Intermediate,0.0,TC00034,1
U00090,sethchavez,34,Male,teresa45@outlook.com,1,1,0.0,0.0,1,3.45,Project Management,Intermediate,0.0,TC00009,1
U00091,joseph88,35,Male,owenspatricia@gmail.com,1,1,0.0,0.0,1,4.14,Finance,Beginner,0.0,TC00039,1
U00092,carl44,31,Male,sabrina47@yahoo.com,4,4,148.7025,594.81,4,2.7175000000000002,Artificial Intelligence,Advanced,0.6666666666666666,TC00008,4
U00093,sextonelizabeth,16,Male,thomas52@gmail.com,1,1,285.05,285.05,1,1.96,Business,Beginner,0.0,TC00028,1
U00094,qtaylor,27,Male,vasquezdavid@yahoo.com,1,1,299.57,299.57,1,3.74,Data Science,Beginner,0.0,TC00015,1
U00095,ojohnson,20,Male,chloe04@yahoo.com,1,1,248.1,248.1,1,1.2,Artificial Intelligence,Beginner,0.0,TC00027,1
U00096,wesley99,34,Female,xdavis@hotmail.com,4,4,0.0,0.0,3,2.58,Machine Learning,Beginner,0.0,TC00002,4
U00097,donnawilliams,25,Male,guzmanchristine@gmail.com,2,2,0.0,0.0,2,2.0949999999999998,Cybersecurity,Advanced,2.0,TC00032,2
U00098,sarah43,31,Male,natasha16@yahoo.com,1,1,0.0,0.0,1,4.45,Design,Advanced,1.0,TC00003,1
U00099,wharrison,29,Female,robertsshawn@yahoo.com,1,1,299.57,299.57,1,3.74,Data Science,Beginner,0.0,TC00010,1
U00100,swallace,32,Female,douglascampbell@outlook.com,1,1,0.0,0.0,1,2.14,Digital Marketing,Beginner,0.0,TC00036,1
U00101,rosejames,15,Female,wilcoxrita@yahoo.com,1,1,89.59,89.59,1,2.68,Artificial Intelligence,Intermediate,0.0,TC00027,1
U00102,vweiss,32,Male,cherylking@yahoo.com,1,1,299.57,299.57,1,3.74,Data Science,Beginner,0.0,TC00015,1
U00103,felicia29,30,Female,ssims@hotmail.com,1,1,0.0,0.0,1,2.0,Business,Advanced,1.0,TC00028,1
U00104,diazsara,19,Male,mosschad@yahoo.com,1,1,53.86,53.86,1,2.47,Finance,Beginner,0.0,TC00005,1
U00105,smithjacqueline,27,Male,robinfranklin@outlook.com,1,1,299.57,299.57,1,3.74,Data Science,Beginner,0.0,TC00016,1
U00106,sharonmurphy,19,Male,cathy60@yahoo.com,2,2,28.66,57.32,2,3.4400000000000004,Digital Marketing,Advanced,0.5,TC00019,2
U00107,hayley84,18,Female,wwood@hotmail.com,1,1,0.0,0.0,1,3.85,Programming,Beginner,0.0,TC00044,1
U00108,jowen,32,Male,jasonjordan@yahoo.com,2,2,0.0,0.0,2,2.965,Design,Advanced,0.5,TC00033,2
U00109,amyschmidt,15,Female,alicia06@yahoo.com,14,14,62.12642857142857,869.77,10,3.157857142857143,Data Science,Beginner,0.3333333333333333,TC00040,2
U00110,thorntondaniel,26,Female,kellywilson@hotmail.com,1,1,487.92,487.92,1,3.64,Business,Advanced,1.0,TC00052,1
U00111,cynthia90,24,Male,kayla61@outlook.com,1,1,0.0,0.0,1,2.14,Digital Marketing,Beginner,0.0,TC00017,1
U00112,williamswilliam,34,Female,qmiller@yahoo.com,14,14,40.41428571428571,565.8,9,3.165714285714286,Data Science,Advanced,0.8333333333333334,TC00040,2
U00113,becky55,19,Male,lclark@hotmail.com,1,1,346.71,346.71,1,1.23,Project Management,Advanced,1.0,TC00043,1
U00114,lvasquez,22,Female,markwilliams@hotmail.com,1,1,0.0,0.0,1,2.38,Cybersecurity,Advanced,1.0,TC00001,1
U00115,mitchellswanson,32,Female,danielmathews@hotmail.com,1,1,0.0,0.0,1,1.73,Machine Learning,Intermediate,0.0,TC00043,1
U00116,schultzaustin,31,Male,psmith@outlook.com,1,1,0.0,0.0,1,1.52,Design,Advanced,1.0,TC00047,1
U00117,kristin26,19,Female,megan10@gmail.com,13,13,145.06692307692308,1885.87,9,3.373076923076923,Cybersecurity,Beginner,0.5,TC00040,2
U00118,morankevin,28,Female,marquezwilliam@hotmail.com,1,1,0.0,0.0,1,2.0,Business,Advanced,1.0,TC00052,1
U00119,phillipsrobert,28,Male,wlee@yahoo.com,1,1,57.32,57.32,1,4.74,Web Development,Advanced,1.0,TC00026,1
U00120,faguilar,15,Male,ashley54@gmail.com,2,2,207.755,415.51,2,3.215,Artificial Intelligence,Beginner,0.0,TC00029,1
U00121,htanner,27,Female,donaldbrennan@hotmail.com,2,2,164.385,328.77,2,2.7,Machine Learning,Advanced,0.5,TC00049,2
U00122,derekgreer,21,Female,elizabeth42@gmail.com,2,2,0.0,0.0,2,2.895,Digital Marketing,Beginner,0.0,TC00017,2
U00123,richardsonjames,18,Female,dillonleslie@outlook.com,2,2,178.445,356.89,2,4.24,Data Science,Advanced,0.5,TC00020,2
U00124,christinagilbert,19,Female,brendanaustin@yahoo.com,2,2,230.245,460.49,2,2.175,Artificial Intelligence,Advanced,0.5,TC00019,2
U00125,michelle70,35,Female,simsbruce@yahoo.com,2,2,163.01,326.02,2,2.25,Business,Advanced,1.0,TC00002,2
U00126,zhall,23,Female,juliecervantes@yahoo.com,14,14,77.4692857142857,1084.57,7,3.457142857142857,Digital Marketing,Beginner,0.5,TC00042,2
U00127,brian60,34,Female,annablair@hotmail.com,3,3,301.1433333333334,903.4300000000001,3,3.846666666666667,Artificial Intelligence,Advanced,2.0,TC00012,3
U00128,misty15,35,Female,thomasharris@yahoo.com,13,13,139.51153846153846,1813.65,8,3.106923076923077,Artificial Intelligence,Beginner,0.6666666666666666,TC00040,2
U00129,sabrinawilson,19,Male,alvaradokevin@gmail.com,2,2,207.755,415.51,2,3.885,Artificial Intelligence,Intermediate,0.0,TC00013,2
U00130,eherring,17,Male,joshua83@yahoo.com,1,1,248.1,248.1,1,1.2,Artificial Intelligence,Beginner,0.0,TC00027,1
U00131,chelsea48,19,Male,stephaniedougherty@gmail.com,1,1,0.0,0.0,1,3.15,Business,Advanced,1.0,TC00028,1
U00132,kathysharp,22,Male,sean85@yahoo.com,1,1,0.0,0.0,1,1.13,Machine Learning,Beginner,0.0,TC00038,1
U00133,mccarthyscott,21,Male,raymondthomas@gmail.com,14,14,59.166428571428575,828.33,9,2.830714285714286,Marketing,Beginner,0.7142857142857143,TC00042,2
U00134,syoung,26,Female,kroy@gmail.com,14,14,102.72928571428572,1438.21,8,3.3528571428571428,Finance,Advanced,1.2,TC00040,2
U00135,josephmichael,17,Female,clarknicholas@gmail.com,1,1,0.0,0.0,1,3.02,Data Science,Intermediate,0.0,TC00010,1
U00136,millerleslie,25,Female,william31@gmail.com,1,1,0.0,0.0,1,3.15,Business,Advanced,1.0,TC00052,1
U00137,lawrencesanchez,15,Female,donaldtaylor@outlook.com,2,2,230.145,460.29,2,3.705,Data Science,Advanced,1.0,TC00008,2
U00138,sarafuentes,26,Male,ugonzales@gmail.com,2,2,0.0,0.0,2,1.8699999999999999,Design,Advanced,0.5,TC00005,2
U00139,qharrell,16,Female,daniel87@yahoo.com,4,4,62.025,248.1,4,1.8275000000000001,Artificial Intelligence,Advanced,0.6666666666666666,TC00004,4
U00140,william81,24,Female,ewalker@hotmail.com,2,2,26.93,53.86,2,3.5650000000000004,Digital Marketing,Beginner,0.0,TC00005,2
U00141,jenkinswilliam,20,Male,nicolerodriguez@gmail.com,1,1,0.0,0.0,1,2.88,Programming,Beginner,0.0,TC00009,1
U00142,brian08,17,Female,stephenhenry@gmail.com,1,1,472.28,472.28,1,4.74,Programming,Beginner,0.0,TC00023,1
U00143,sherri37,26,Male,lopezbrian@outlook.com,2,2,88.67,177.34,2,4.415,Cybersecurity,Advanced,0.5,TC00002,2
U00144,rodgerspaul,24,Female,amy66@hotmail.com,13,13,73.35923076923076,953.67,7,3.173076923076923,Finance,Intermediate,1.6666666666666667,TC00040,2
U00145,shawnbrown,23,Female,amandasingh@yahoo.com,1,1,0.0,0.0,1,4.94,Cybersecurity,Beginner,0.0,TC00006,1
U00146,ihernandez,30,Female,rgarcia@outlook.com,1,1,0.0,0.0,1,4.44,Digital Marketing,Beginner,0.0,TC00022,1
U00147,patricklaura,30,Male,barbarapatterson@yahoo.com,12,12,99.64,1195.68,9,3.0775,Data Science,Beginner,0.5,TC00040,2
U00148,andersenmichael,35,Female,rsmith@outlook.com,1,1,0.0,0.0,1,3.02,Data Science,Intermediate,0.0,TC00016,1
U00149,jacksonanthony,17,Female,yspencer@gmail.com,10,10,90.64099999999999,906.41,8,3.303,Artificial Intelligence,Advanced,1.0,TC00040,2
U00150,nsmith,25,Male,zjefferson@gmail.com,2,2,0.0,0.0,2,3.245,Cybersecurity,Advanced,1.0,TC00046,2
U00151,johnjohnson,16,Female,heathrodney@hotmail.com,1,1,0.0,0.0,1,4.44,Digital Marketing,Beginner,0.0,TC00017,1
U00152,hhill,19,Female,keith03@outlook.com,12,12,114.07666666666665,1368.9199999999998,9,3.296666666666667,Cybersecurity,Beginner,0.2857142857142857,TC00040,2
U00153,scottgilbert,35,Male,sextondillon@yahoo.com,2,2,18.945,37.89,2,2.575,Programming,Advanced,0.5,TC00056,2
U00154,jessicabailey,29,Male,colleen99@outlook.com,1,1,248.1,248.1,1,1.2,Artificial Intelligence,Beginner,0.0,TC00027,1
U00155,browningstephanie,27,Male,cindy51@gmail.com,2,2,0.0,0.0,2,3.71,Finance,Beginner,0.0,TC00039,2
U00156,phill,17,Male,natalie68@outlook.com,1,1,0.0,0.0,1,1.59,Finance,Advanced,1.0,TC00044,1
U00157,derek60,32,Female,dhall@hotmail.com,2,2,106.195,212.39,2,2.53,Cybersecurity,Advanced,1.0,TC00032,2
U00158,nicholas56,35,Female,lisa06@yahoo.com,1,1,0.0,0.0,1,1.28,Programming,Beginner,0.0,TC00051,1
U00159,rodriguezraymond,16,Male,richardsonwilliam@yahoo.com,2,2,26.93,53.86,2,2.1,Finance,Beginner,0.0,TC00039,2
U00160,kingspencer,28,Female,gillvalerie@yahoo.com,1,1,327.99,327.99,1,1.51,Project Management,Beginner,0.0,TC00043,1
U00161,lawrence17,25,Female,tstone@outlook.com,11,11,55.054545454545455,605.6,7,2.8972727272727274,Business,Advanced,1.25,TC00040,2
U00162,charlesayala,26,Male,kmyers@gmail.com,1,1,0.0,0.0,1,1.59,Finance,Advanced,1.0,TC00044,1
U00163,clinejacqueline,32,Female,johnsonshelly@hotmail.com,1,1,0.0,0.0,1,3.45,Project Management,Intermediate,0.0,TC00009,1
U00164,james63,32,Male,jessica46@outlook.com,2,2,0.0,0.0,1,3.2700000000000005,Machine Learning,Advanced,1.0,TC00049,1
U00165,wcarroll,30,Male,angela19@hotmail.com,4,4,104.955,419.82,4,2.995,Artificial Intelligence,Intermediate,0.5,TC00033,4
U00166,campbellkelsey,33,Male,hinesjoshua@gmail.com,15,15,16.592,248.88,9,3.1886666666666668,Machine Learning,Intermediate,0.6666666666666666,TC00042,2
U00167,rogersjohn,31,Female,jonathan94@hotmail.com,1,1,0.0,0.0,1,4.94,Cybersecurity,Beginner,0.0,TC00031,1
U00168,gillespiekimberly,24,Female,michael38@outlook.com,1,1,326.02,326.02,1,2.69,Business,Intermediate,0.0,TC00052,1
U00169,vasquezjohn,24,Male,youngmaurice@yahoo.com,13,13,43.62769230769231,567.16,11,2.636923076923077,Design,Advanced,1.0,TC00040,2
U00170,millerdavid,34,Female,mark06@hotmail.com,3,3,0.0,0.0,3,2.72,Programming,Beginner,0.0,TC00018,3
U00171,egardner,24,Male,obrienmolly@outlook.com,2,2,0.0,0.0,1,4.0649999999999995,Project Management,Beginner,0.0,TC00060,1
U00172,nglass,35,Female,charleshernandez@hotmail.com,1,1,0.0,0.0,1,4.73,Machine Learning,Intermediate,0.0,TC00023,1
U00173,fernando38,31,Male,patriciagarcia@gmail.com,14,14,78.20142857142856,1094.82,10,3.1978571428571425,Artificial Intelligence,Beginner,0.2857142857142857,TC00040,2
U00174,michelle60,29,Male,sgriffith@yahoo.com,1,1,212.39,212.39,1,3.15,Digital Marketing,Advanced,1.0,TC00017,1
U00175,xlambert,32,Female,leonardlisa@gmail.com,2,2,245.45,490.9,2,2.915,Artificial Intelligence,Beginner,0.0,TC00029,2
U00176,gary81,34,Male,jameshartman@hotmail.com,1,1,0.0,0.0,1,4.68,Project Management,Beginner,0.0,TC00043,1
U00177,torreschristine,29,Female,adriana95@yahoo.com,14,14,109.03857142857143,1526.54,9,3.0235714285714286,Finance,Beginner,0.375,TC00042,2
U00178,gonzaleslisa,20,Male,robertspencer@outlook.com,14,14,16.90857142857143,236.72000000000003,10,3.54,Data Science,Beginner,0.6666666666666666,TC00042,2
U00179,mariaavila,34,Male,tpineda@outlook.com,2,2,243.96,487.92,2,2.685,Business,Advanced,1.0,TC00049,2
U00180,xglenn,26,Female,bruce16@hotmail.com,1,1,0.0,0.0,1,4.73,Machine Learning,Intermediate,0.0,TC00049,1
U00181,stephanie98,32,Female,angela26@yahoo.com,1,1,299.57,299.57,1,3.74,Data Science,Beginner,0.0,TC00010,1
U00182,nancyibarra,28,Female,rmadden@gmail.com,1,1,0.0,0.0,1,4.1,Finance,Intermediate,0.0,TC00023,1
U00183,christopherhall,33,Male,virginia17@outlook.com,1,1,0.0,0.0,1,4.73,Machine Learning,Intermediate,0.0,TC00026,1
U00184,kroth,28,Male,nrhodes@hotmail.com,1,1,0.0,0.0,1,2.38,Cybersecurity,Advanced,1.0,TC00031,1
U00185,jwalls,27,Male,carrillomichael@outlook.com,1,1,57.32,57.32,1,4.74,Web Development,Advanced,1.0,TC00045,1
U00186,alexbrown,28,Female,nortonlisa@outlook.com,2,2,163.01,326.02,2,3.0700000000000003,Business,Intermediate,0.0,TC00028,2
U00187,taylor05,18,Male,staceygiles@hotmail.com,1,1,472.28,472.28,1,4.74,Programming,Beginner,0.0,TC00026,1
U00188,robertsedward,18,Male,wschmidt@gmail.com,1,1,0.0,0.0,1,1.52,Design,Advanced,1.0,TC00047,1
U00189,latoya45,18,Male,normangabriela@hotmail.com,1,1,0.0,0.0,1,1.59,Finance,Advanced,1.0,TC00044,1
U00190,hroberts,25,Female,hcabrera@yahoo.com,1,1,487.92,487.92,1,3.64,Business,Advanced,1.0,TC00028,1
U00191,foleypaul,34,Male,jeremycole@gmail.com,12,12,188.225,2258.7,8,3.955833333333333,Project Management,Beginner,0.5,TC00040,2
U00192,nathanieldorsey,17,Male,briannarichardson@yahoo.com,14,14,48.576428571428565,680.0699999999999,9,3.440714285714286,Web Development,Beginner,0.5,TC00040,2
U00193,stevenjames,33,Male,carriedrake@yahoo.com,1,1,0.0,0.0,1,4.79,Marketing,Advanced,1.0,TC00036,1
U00194,carolynpage,35,Male,jacksonandrew@outlook.com,1,1,0.0,0.0,1,3.02,Data Science,Intermediate,0.0,TC00010,1
U00195,stewartlisa,15,Male,powens@outlook.com,1,1,346.71,346.71,1,1.23,Project Management,Advanced,1.0,TC00043,1
U00196,susan34,23,Female,alexandragreen@outlook.com,1,1,394.26,394.26,1,1.35,Cybersecurity,Intermediate,0.0,TC00032,1
U00197,parksderek,35,Female,michaelwallace@hotmail.com,1,1,0.0,0.0,1,3.6,Data Science,Intermediate,0.0,TC00016,1
U00198,brian71,30,Female,lewismargaret@hotmail.com,12,12,103.52833333333335,1242.3400000000001,7,3.2741666666666664,Finance,Beginner,0.42857142857142855,TC00040,2
